,title,link,rating,num_ratings,language,hours,topic_0,topic_1,topic_2,expiring
96,Blender Beginners Guide to 3D Modelling Game Asset Pipeline,https://www.udemy.com/course/blender-beginners-guide-to-3d-modelling-game-asset-pipeline/?couponCode=3DTUDOR101,4.4,39,Englisch,"1,5 Stunden",Design,3D & Animation,3D-Modelle,99
6,Photo Editing With Free Software,https://www.udemy.com/course/photo-editing-with-free-software/?couponCode=EA0B5A65D1DB13380D2F,3.2,26,Englisch,2 Stunden,Design,Grafikdesign,Bildbearbeitung,99
62,How to Make Passive Income With Bitcoin Lending,https://www.udemy.com/course/how-to-make-passive-income-with-bitcoin-lending/?couponCode=FEBFNLWK2020,3.8,28,Englisch,1 Stunde,Finanzen & Rechnungswesen,Investition & Trading,Passives Einkommen,19
94,EFT Weight Loss - Tapping into Exercise,https://www.udemy.com/course/eft-weight-loss-tapping-into-exercise/?couponCode=BDFC77602966919BF3D7,3.7,20,Englisch,1 Stunde,Gesundheit & Fitness,Fitness,Abnehmen,99
9,The Absolute Beginners Guide to Cyber Security and Hacking,https://www.udemy.com/course/the-absolute-beginners-guide-to-cybersecurity-and-hacking/?couponCode=ENROLFORVIRTUAL,3.6,72,Englisch,17 Stunden,IT & Software,Netzwerk & Sicherheit,Ethical Hacking,15
24,Learn Network Attacks and Security,https://www.udemy.com/course/network-attacks-and-security/?couponCode=1_LAKH_FREE,3.7,235,Englisch,5 Stunden,IT & Software,Netzwerk & Sicherheit,Netzwerksicherheit,99
67,Master in Hacking with XSS Cross Site Scripting,https://www.udemy.com/course/xss-cross-site-scripting/?couponCode=1_LAKH_FREE,3.7,170,Englisch,3 Stunden,IT & Software,Netzwerk & Sicherheit,Ethical Hacking,99
38,10 Copywriting Hacks That Work in 2020,https://www.udemy.com/course/10-copywriting-hacks-that-work-in-2016/?couponCode=D4BB81B2384C177A06CC,4.2,198,Englisch,"41 Min,",Marketing,Content-Marketing,Texten,99
52,How To Create High-Quality Blog Content That Gets Shared,https://www.udemy.com/course/how-to-create-high-quality-blog-content-that-gets-shared/?couponCode=664372F46A58061FCF73,4.0,236,Englisch,"33 Min,",Marketing,Content-Marketing,Bloggen,99
3,How To Promote CPA Offers With Bing Ads,https://www.udemy.com/course/how-to-promote-cpa-offers-with-bing-ads/?couponCode=6A56B40C787FEFF93F0C,3.8,322,Englisch,"1,5 Stunden",Marketing,Digitales Marketing,CPA-Marketing,99
16,Home Business: CPA Marketing From Scratch,https://www.udemy.com/course/home-business-cpa-marketing-from-scratch/?couponCode=AE11DEBF03A177024C32,4.0,285,Englisch,2 Stunden,Marketing,Digitales Marketing,CPA-Marketing,99
47,How To Build A Converting Landing Page From Scratch,https://www.udemy.com/course/how-to-build-a-converting-landing-page-from-scratch/?couponCode=C0A7C1E496670D5E185C,3.9,226,Englisch,1 Stunde,Marketing,Digitales Marketing,Landing-Page-Optimierung,99
93,How To Analyze Your Niche Market,https://www.udemy.com/course/how-to-easily-analyze-your-competitors/?couponCode=1BC557FDD5D9682EBEF5,3.9,121,Englisch,1 Stunde,Marketing,Digitales Marketing,Marktforschung,99
8,Facebook Marketing: Advanced Targeting Strategies,https://www.udemy.com/course/facebook-marketing-advanced-targeting-strategies/?couponCode=06EF902EEB4A8CD37BD2,4.1,665,Englisch,"1,5 Stunden",Marketing,Social-Media-Marketing,Facebook-Marketing,99
